guid,date,president,field_strike_type,village,province,leader_names,leaders_desc,militants_low,militants_high,civilians_low,civilians_high,unknown_low,unknown_high,total_low,total_high,total_avg,nation_responsible,target,target_org,notes,sources,lat,lon
015 2012,2012-04-11T00:00:00Z,Obama,Air Strike,Umm Ayn,Abyan,,,5,5,,,,,5,5,5,United States,Unclear,Ansar al-Sharia,This drone strike was reported by only one source.,First Post: http://www.firstpost.com/world/at-least-72-militants-killed-in-yemen-violence-273078.html,13.634341,46.056321
014 2012,2012-04-11T00:00:00Z,Obama,Air Strike,Lawdar ,Abyan,,,10,12,,,,,10,12,11,United States,Vehicle,Ansar al-Sharia,,AP: http://www.guardian.co.uk/world/feedarticle/10190359<br>First Post: http://www.firstpost.com/world/at-least-72-militants-killed-in-yemen-violence-273078.html,13.88749981,45.86700058
013 2012,2012-04-08T00:00:00Z,Obama,Drone Strike,Al Kawd,Abyan,,,8,16,,,,,8,16,12,United States,Vehicle,AQAP,"Reports suggest these strikes were joint U.S.-Yemeni operations, making it difficult to determine which country's strikes killed the suspected militants.",Xinhua: http://english.peopledaily.com.cn/90777/7780614.html<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=5055&MainCat=3<br>,13.08209991,45.36800003
012 2012,2012-04-08T00:00:00Z,Obama,Drone Strike,Unknown,Shabwah,,,8,8,,,,,8,8,8,United States ,Vehicle,AQAP,"Reports suggest these strikes were joint U.S.-Yemeni operations, making it difficult to determine which country's strikes killed the suspected militants.",Xinhua: http://english.peopledaily.com.cn/90777/7780614.html<br>Reuters: http://uk.reuters.com/article/2012/04/08/yemen-airport-idUKL6E8F80LP20120408<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=5055&MainCat=3,14.92889977,46.72480011
011 2012,2012-04-07T00:00:00Z,Obama,Air Strike,Usalian,Shabwah,,,,,,,,,0,0,0,United States,Vehicle,AQAP,The unsuccessful strike targeted AQAP no. 3 Qassim al-Raimi.  ,WSJ: http://online.wsj.com/article/SB10001424052702303772904577331292192694510.html?mod=googlenews_wsj<br>Reuters: http://uk.reuters.com/article/2012/04/08/yemen-airport-idUKL6E8F80LP20120408,14.7208004,46.55979919
010 2012,2012-04-01T00:00:00Z,Obama,Air Strike,Al Rahha,Lahij,,,38,43,,,,,38,43,41,United States,Unclear,AQAP,"Reports suggest these strikes were joint U.S.-Yemeni operations, making it difficult to determine which country's strikes killed the suspected militants.",BBC: http://www.bbc.co.uk/news/world-middle-east-17596445<br>AJE: http://www.aljazeera.com/news/middleeast/2012/04/201243103148783297.html<br>CNN: http://edition.cnn.com/2012/04/03/world/meast/yemen-qaeda-airstrikes/index.html?hpt=hp_t2,13.06145481,44.8786896
009 2012,2012-03-30T00:00:00Z,Obama,Drone Strike,Azzan,Shabwah,,,5,5,1,1,,,6,6,6,United States,Vehicle,AQAP,,Reuters: http://af.reuters.com/article/eritreaNews/idAFL6E8EU54F20120330<br>CNN: http://edition.cnn.com/2012/03/31/world/meast/yemen-drone-strikes/,14.32470036,47.44509888
008 2012,2012-03-22T00:00:00Z,Obama,Air Strike,Zinjibar,Abyan,,,29,30,,,,,29,30,30,United States,Unclear,AQAP,"Western sources reported only naval strikes, while Xinhua reported attacks from ships and drones.",Xinhua: http://news.xinhuanet.com/english/world/2012-03/22/c_131483382.htm<br>  USA Today: http://usatoday30.usatoday.com/news/world/story/2012-03-22/yemen-unrest/53711604/1,13.12579275,45.36517792
007 2012,2012-03-18T00:00:00Z,Obama,Air Strike,Jaar,Abyan,,,8,18,,,,,8,18,13,United States,Building,AQAP,,AP: http://www.washingtontimes.com/news/2012/mar/18/yemen-gunmen-kill-us-teacher/?page=all<br>Xinhua: http://news.xinhuanet.com/english/world/2012-03/18/c_131474317.htm<br>Al-Arabiya: http://english.alarabiya.net/articles/2012/03/18/201474.html,13.223056,45.305556
006 2012,2012-03-18T00:00:00Z,Obama,Air Strike,Zinjibar,Abyan,,,16,16,,,,,16,16,16,United States,Building ,AQAP,,AP: http://www.washingtontimes.com/news/2012/mar/18/yemen-gunmen-kill-us-teacher/?page=all<br>Xinhua: http://news.xinhuanet.com/english/world/2012-03/18/c_131474317.htm<br>Al-Arabiya: http://english.alarabiya.net/articles/2012/03/18/201474.html,13.22073063,45.30475312
005 2012,2012-03-13T00:00:00Z,Obama,Drone Strike,Al Baitha,Al Baitha,Nasser al-Thafri,Senior al-Qaeda operative,4,4,,,,,4,4,4,United States,Vehicle,AQAP,,Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=4901&MainCat=3<br>CNN: http://articles.cnn.com/2012-03-13/middleeast/world_meast_yemen-violence_1_qaeda-drone-strike-senior-al?_s=PM:MIDDLEEAST,14.00090027,45.54750061
004 2012,2012-03-11T00:00:00Z,Obama,Drone Strike,Jaar,Abyan,,,3,6,,,,,3,6,5,United States,Building,Ansar al-Sharia,Attack was on a factory controlled by al-Qaeda militants,Reuters: http://www.jpost.com/Headlines/Article.aspx?id=261439<br>AFP: http://www.france24.com/en/20120311-us-air-raids-strike-qaeda-arms-caches-yemen-witnesses<br>Yemen Times: http://www.yementimes.com/en/1554/news/550/Over-40-Al-Qaeda-militants-killed-in-Abyan-Al-Baidha.htm,13.21123849,45.31814273
003 2012,2012-03-10T00:00:00Z,Obama,Drone Strike,Jaar,Abyan,,,34,40,,,,,34,40,37,United States,Compound,Ansar al-Sharia,,BBC: <http://www.bbc.co.uk/news/world-middle-east-17324141>    Yemen Times: <http://www.yementimes.com/en/1554/news/550/Over-40-Al-Qaeda-militants-killed-in-Abyan-Al-Baidha.html>  CNN: <http://edition.cnn.com/2012/03/11/world/meast/yemen-airstrike/>,13.60630035,45.43899918
002 2012,2012-03-09T00:00:00Z,Obama,Drone Strike,Jabra,Al Bayda,Abdulwahhab al-Homaiqani,AQAP Commander,16,25,,,9,10,25,35,30,United States,Training Camp,Ansar al-Sharia,,BBC: <http://www.bbc.co.uk/news/world-middle-east-17324141>  Guardian: <http://www.guardian.co.uk/world/2012/mar/10/yemen-air-strikes-al-qaida?newsfeed=true>  Post: <http://www.washingtonpost.com/world/middle_east/in-yemen-us-airstrikes-breed-anger-and-sympathy-for-al-qaeda/2012/05/29/gJQAUmKI0U_story.html>  LAT: <http://articles.latimes.com/2012/apr/02/world/la-fg-us-yemen-20120402>  Xinhua: <http://news.xinhuanet.com/english/world/2012-03/10/c_131457996.htm> Reuters: http://www.reuters.com/article/2012/03/10/us-yemen-airstrike-idUSBRE82905V20120310,13.98379156,45.57672196
001 2012,2012-01-30T00:00:00Z,Obama,Drone Strike,Lawdar,Abyan,Abdel-Munem al-Fatahani,Fatahani was linked to the bombing of the USS Cole and  the 2002 Limburg oil tanker attack,9,15,,,,,9,15,12,United States,Vehicle,AQAP,,ABC: http://abcnews.go.com/Blotter/yemen-drone-strike-hits-al-qaeda-targets-reports/story?id=15478632#.T70q39WwVrJ<br>Reuters: http://www.reuters.com/article/2012/01/31/yemen-qaeda-idUSL5E8CV07520120131<br>BBC: http://www.bbc.co.uk/news/world-middle-east-16806006,13.87889957,45.86510086
014 2011,2011-12-23T00:00:00Z,Obama,Drone Strike,Zinjibar,Abyan,Abdulrahman al-Wuhayshi,Related to AQAP leader Nasser al-Wahishi,1,1,,,,,1,1,1,United States,Unclear,AQAP,,Reuters: http://www.reuters.com/article/2011/12/23/us-yemen-qaeda-idUSTRE7BM0QG20111223<br>USA Today: http://www.usatoday.com/news/world/story/2011-12-22/yemen-al-qaeda-killing/52156188/1,13.12849998,45.36380005
013 2011,2011-10-14T00:00:00Z,Obama,Drone Strike,Unknown,Shabwah,Ibrahim al-Banna; Abdul Rahman al-Awlaki,Banna was the leader of AQAP's media wing; Awlaki was Anwar al-Awlaki's son,7,9,,,9,24,16,33,25,United States,Houseandvehicle,AQAP,Awlaki was the fourth American to be killed by drone strikes.,CNN: <http://articles.cnn.com/2011-10-15/middleeast/world_meast_yemen-drone-attack_1_anwar-al-awlaki-drone-attack-drone-strike?_s=PM:MIDDLEEAST>   FOX: <http://www.foxnews.com/world/2011/10/15/yemen-says-local-al-qaeda-media-chief-six-others-killed/>  LAT: <http://articles.latimes.com/2011/oct/16/world/la-fg-yemen-drone-strike-20111016>   NYT: <http://www.nytimes.com/2011/10/16/world/middleeast/yemeni-security-forces-fire-on-protesters-in-sana.html>   Post: <http://www.washingtonpost.com/world/national-security/anwar-al-awlakis-family-speaks-out-against-his-sons-deaths/2011/10/17/gIQA8kFssL_story.html?wprss=rss_national-security>  Reuters: <http://af.reuters.com/article/energyOilNews/idAFL5E7LI4TF20111018> ,14.32470036,47.44300079
012 2011,2011-10-05T00:00:00Z,Obama,Drone Strike,Zinjibar,Abyan,,,5,5,,,,,5,5,5,United States,Unclear,AQAP,,AP: http://www.nytimes.com/2011/10/06/world/middleeast/drone-strike-in-yemen.html<br />Yemen Observer: http://www.yobserver.com/front-page/10021496.html,13.22193382,45.3071564
011 2011,2011-09-30T00:00:00Z,Obama,Drone Strike,Khashef ,Al Jawf,Anwar Al-Awlaki; Samir Khan,Awlaki was AQAP's chief propagandist; Khan created AQAP's Inspire magazine,4,4,,,,,4,4,4,United States,Vehicle,AQAP,This was the first CIA drone strike in Yemen since 2002. All previous strikes were carried out by the military's Joint Special Operations Command or were cruise missiles launched from U.S. Navy vessels off the Yemeni coast.,NYT: <http://www.nytimes.com/2011/10/01/world/middleeast/anwar-al-awlaki-is-killed-in-yemen.html?_r=3&pagewanted=all>  WSJ: <http://online.wsj.com/article/SB10001424052970204138204576602301252340820.html>  Guardian: <http://www.guardian.co.uk/world/2011/sep/30/anwar-al-awlaki-al-qaida?newsfeed=true>  Post: <http://www.washingtonpost.com/world/middle-east/anwar-al-aulaqi-us-born-cleric-linked-to-al-qaeda-killed-yemen-says/2011/09/30/gIQAsoWO9K_story.html?hpid=z1>  BBC: <http://www.bbc.co.uk/news/world-middle-east-15121879>  CNN: <http://edition.cnn.com/2011/09/30/world/africa/yemen-radical-cleric/index.html?hpt=hp_t1>  ABC: <http://abcnews.go.com/International/anwar-al-awlaki-killed-officials-yemen-confirm-al/story?id=14638303#.T70jjtWwVrI>  Long War Journal:  <http://www.longwarjournal.org/archives/2011/09/yemen_claims_aqap_cl.php>,16.57898079,44.95834048
010 2011,2011-09-21T00:00:00Z,Obama,Drone Strike,Shaqra,Abyan,,,6,6,,,,,6,6,6,United States,Unclear,AQAP,This drone strike was reported by only one source.,AFP: <http://www.google.com/hostednews/afp/article/ALeqM5igSCJQYllvvvaI-70o66azhP9JwA?docId=CNG.0d3bf3dd466de4d0317f3f205dba2ee1.2f1> ,13.23939991,45.5320015
009 2011,2011-09-21T00:00:00Z,Obama,Drone Strike,Al Mahfad,Abyan,,,4,4,,,,,4,4,4,United States,Unclear,AQAP,This drone strike was reported by only one source.,AFP: http://www.google.com/hostednews/afp/article/ALeqM5igSCJQYllvvvaI-70o66azhP9JwA?docId=CNG.0d3bf3dd466de4d0317f3f205dba2ee1.2f1,14.06019974,46.8647995
008 2011,2011-09-01T00:00:00Z,Obama,Air Strike,Zinjibar,Abyan,,,20,30,,,,,20,30,25,United States,Unclear,AQAP,The air raids freed a Yemeni military unit besieged in Abyan for several weeks by al-Qaeda groups.,AJE: <http://www.aljazeera.com/news/middleeast/2011/09/201191125737612197.html>  AP: <http://www.armytimes.com/news/2011/09/ap-yemen-says-30-al-qaida-militants-killed-us-airstrikes-090111/>,13.12980496,45.36105805
007 2011,2011-08-01T00:00:00Z,Obama,Drone Strike,Zinjibar,Abyan,Naser al-Shadadi,Senior al-Qaeda commander,15,15,,,,,15,15,15,United States,Building,AQAP,"Yemeni media and officials say this was a U.S. drone strike, though reports differed. Three drone strikes were carried out. The first was on the al-Wahdah stadium, the second in al-Amodiah, and the third in al-Khamilah.<br>",Post: http://www.washingtonpost.com/world/middle-east/militants-killed-in-air-attacks-in-south-yemen/2011/08/01/gIQArZmDoI_story.html<br>YemenPost: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=3873&MainCat=3,14.14900017,46.5591011
006 2011,2011-07-27T00:00:00Z,Obama,Drone Strike,Zinjibar,Abyan,,,5,5,,,,,5,5,5,United States,Unclear,AQAP,This drone strike was reported by only one source.,Xinhua: <news.xinhuanet.com/english2010/world/2011-07/28/c_131013871.htm>,13.12709999,45.36790085
005 2011,2011-07-14T00:00:00Z,Obama,Air Strike,Al Wadiya,Abyan,Hadi Mohammad Ali,al-Qaeda member,8,8,,,,,8,8,8,United States,Building,AQAP,This drone strike was reported by only one source.,NYT: <http://www.nytimes.com/2011/07/15/world/middleeast/15yemen.html>,13.10410023,45.37009811
004 2011,2011-06-18T00:00:00Z,Obama,Drone Strike,Jaar,Abyan,,,,,,,,,0,0,0,United States,Unclear,AQAP,"While no one was killed in this strike, six people were injured. This drone strike was reported by only one source.",Yemen Post: <http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=3719&MainCat=3>,13.22176672,45.3041523
003 2011,2011-06-12T00:00:00Z,Obama,Drone Strike,Jaar,Abyan,,,,,3,3,,,3,3,3,United States,Building,AQAP,"The strike targeted the residence of Nader Shadadi, an al-Qaeda fighter. Shadadi was not home at the time but his father, mother, and sister were killed in the raid.",Yemen Post: <http://yemenpost.net/Detail123456789.aspx?ID=100&SubID=3683&MainCat=3>,13.22729969,45.30170059
002 2011,2011-06-03T00:00:00Z,Obama,Air Strike,Zinjibar,Abyan,Abu Ali al-Harithi; Ammar Abadah Nasser al Wa'eli ,Harithi was a mid-level al-Qaeda operative; Wa'eli was a senior AQAP commander and arms dealer,4,8,,,4,4,8,12,10,United States,Unclear,AQAP,,NYT: <http://www.nytimes.com/2011/06/09/world/middleeast/09intel.html?_r=3&partner=rss&emc=rss>  Almotar: <www.almotamar.net/en/8476.htm>  Reuters: <http://www.reuters.com/article/2011/06/09/us-yemen-usa-report-idUSTRE7580JH20110609>,13.12938145,45.38102799
001 2011,2011-05-05T00:00:00Z,Obama,Drone Strike,Jahwa,Shabwah,Musaed Mubarak Aldaghery; Abdullah Mubarak Aldaghery.,Both men were al-Qaeda operatives,2,2,,,,,2,2,2,United States,Vehicle,AQAP,This strike targeted Yemeni-American cleric Anwar al-Awlaki. ,ABC: <http://abcnews.go.com/Blotter/us-missed-awlaki-inches-yemen/story?id=14108686#.UZztWJyE7-5>  Post: <http://www.washingtonpost.com/world/middle-east/yemeni-official-us-drone-strike-kills-2-al-qaeda-operatives/2011/05/05/AF7HrzxF_story.html>  WSJ: <http://online.wsj.com/article/SB10001424052748703992704576307594129219756.html>  ,14.7252494,46.51187592
001 2010,2010-05-24T00:00:00Z,Obama,Drone Strike,Wadi Abida,Marib,,,2,2,6,6,,,8,8,8,United States,Gathering,AQAP,"Jabir al Shabwani, the deputy governor of Marib province, was killed in this attack.
",Long War Journal: <http://www.longwarjournal.org/archives/2010/05/yemeni_airstrike_kil.php>  NYT: <http://www.nytimes.com/2010/05/26/world/middleeast/26yemen.html>  Reuters: <http://uk.reuters.com/article/2010/05/25/uk-yemen-idUKTRE64O17W20100525>  WSJ: <http://online.wsj.com/article/SB10001424052970203899504577126883574284126.html>  Yemen Observer: <http://www.yobserver.com/front-page/10018779.html>  ,15.46761327,45.32912905
002 2009,2009-12-24T00:00:00Z,Obama,Air Strike,Rafd,Shabwah,Mohammed Ahmed Saleh Omair,Mid-level al-Qaeda commander,30,30,,,,,30,30,30,United States,Gathering,AQAP,"The airstrikes were aimed at a large group of Qaeda operatives who had gathered in the southern province of Shabwa to plan attacks against the Yemeni government in retaliation for an offensive the week before, the Yemeni Embassy statement said.

Yemeni officials said they had made targets of the leader of al-Qaeda in the Arabian Peninsula, Nasser al-Wuhayshi, and his deputy, Said Ali al-Shihri, who were believed to be at the meeting with Mr. Awlaki.  The Yemeni Embassy in Washington D.C. released a statement on December 24, 2009 saying, "" ""Today, Yemeni fighter jets launched an aerial assault at 4:30 a.m., on a remote location in the province of Shabwa."" Other reports indicated that the strike was actually carried out by a U.S. cruise missile. The United States said it only provided intelligence, while Yemen denied involvement altogether. A diplomatic cable released by Wikileaks appears to indicate that it was indeed a U.S. strike, but it remains unclear what form the attack took.", ABC: <http://abcnews.go.com/WN/abcs-pierre-thomas-reports-latest-raid-yemen-killed/story?id=9419756#.T7qQJO3-DHh>  Guardian: <http://www.guardian.co.uk/world/2009/dec/24/yemen-strike-al-qaida>  NYT: <http://www.nytimes.com/2009/12/25/world/middleeast/25yemen.html>   Reuters: <http://in.reuters.com/article/2009/12/24/idINIndia-44972820091224?sp=true>  Wikileaks: http://www.cablegatesearch.net/cable.php?id=10SANAA4&q=petraeus%20saleh ,14.64778026,46.64102249
001 2009,2009-12-17T00:00:00Z,Obama,Air Strike,Al Ma'jalah,Abyan,Saleh al-Qazimi,al-Qaeda commander,14,34,,41,,45,14,120,67,United States ,Training Camp,AQAP,"Six months after this strike took place, Amnesty International released images of U.S.-made cluster bombs that had purportedly been fired by American naval vessels during this attack. Amnesty also reported that 55 people had been killed in the strike, 41 of whom were civilians -- mostly women and children.<br>",ABC: <http://abcnews.go.com/Blotter/cruise-missiles-strike-yemen/story?id=9375236&page=2#.TtUczV1AIj8>  Amnesty: <http://www.amnesty.org/en/news-and-updates/yemen-images-missile-and-cluster-munitions-point-us-role-fatal-attack-2010-06-04>  AJE: <http://www.aljazeera.com/news/middleeast/2010/06/20106653442608341.html>   BBC: <http://www.bbc.co.uk/news/10251954>  Fox: <http://www.foxnews.com/politics/2009/12/18/launched-missile-strikes-al-qaeda-yemen-sources-say/>  NYT: <http://www.nytimes.com/2009/12/18/world/middleeast/18yemen.html>   NYT: <http://www.nytimes.com/2009/12/19/world/middleeast/19yemen.html>    ,13.7381311,46.65801702
001 2002,2002-11-03T00:00:00Z,Bush,Drone Strike,Marib,Marib,Qaed Salim Sunian al-Harithi; Kamal Derwish,Harithi was al-Qaeda's chief operative in Yemen and a suspect in the bombing of the USS Cole; Derwish was an al-Qaeda operative ,6,6,,,4,4,10,10,10,United States,Vehicle ,AQAP,"Kamal Derwish, an American citizen, was killed in the attack.  He is the first known U.S. citizen to be killed by the United States abroad.",AP:  <http://usatoday30.usatoday.com/news/world/2002-11-04-yemen-explosion_x.htm> PBS: <http://www.pbs.org/wgbh/pages/frontline/shows/sleeper/inside/derwish.html> Post: <http://tech.mit.edu/V122/N54/long4-54.54w.html>,15.470031,45.322858
